group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,BSG-like,20,8,2,16885.00000000,148115.00000000,0.10821212,0.08972727,0.80206061,0.19793939
fig7,BSG-like,20,8,3,17227.00000000,147773.00000000,0.11206061,0.08469697,0.80324242,0.19675758
fig7,BSG-like,20,8,4,17757.00000000,147243.00000000,0.11518182,0.08827273,0.79654545,0.20345455
fig7,BSG-like,20,8,5,17708.00000000,147292.00000000,0.11503030,0.08739394,0.79757576,0.20242424
fig7,BSG-like,20,8,6,16463.00000000,148537.00000000,0.10684848,0.08239394,0.81075758,0.18924242
fig7,BSG-like,20,8,7,15890.00000000,149110.00000000,0.10309091,0.08006061,0.81684848,0.18315152
fig7,BSG-like,20,8,8,17877.00000000,147123.00000000,0.11866667,0.07796970,0.80336364,0.19663636
fig7,BSG-like,20,8,9,17335.00000000,147665.00000000,0.11309091,0.08384848,0.80306061,0.19693939
fig7,BSG-like,20,8,10,17581.00000000,147419.00000000,0.11127273,0.09857576,0.79015152,0.20984848
fig7,BSG-like,20,8,11,17078.00000000,147922.00000000,0.11181818,0.08115152,0.80703030,0.19296970
fig7,BSG-like,20,8,12,16920.00000000,148080.00000000,0.10839394,0.09006061,0.80154545,0.19845455
fig7,BSG-like,20,8,13,16690.00000000,148310.00000000,0.10769697,0.08587879,0.80642424,0.19357576
fig7,BSG-like,20,8,14,17400.00000000,147600.00000000,0.11418182,0.08145455,0.80436364,0.19563636
fig7,BSG-like,20,8,15,17148.00000000,147852.00000000,0.11151515,0.08448485,0.80400000,0.19600000
fig7,BSG-like,20,8,16,17818.00000000,147182.00000000,0.11521212,0.09000000,0.79478788,0.20521212
fig7,BSG-like,20,8,17,18022.00000000,146978.00000000,0.11578788,0.09387879,0.79033333,0.20966667
fig7,BSG-like,20,8,18,17288.00000000,147712.00000000,0.11566667,0.07212121,0.81221212,0.18778788
fig7,BSG-like,20,8,19,17316.00000000,147684.00000000,0.11390909,0.08000000,0.80609091,0.19390909
fig7,BSG-like,20,8,20,16706.00000000,148294.00000000,0.10403030,0.10103030,0.79493939,0.20506061
fig7,EFNRL-like,20,8,1,17280.00000000,147720.00000000,0.11393939,0.07878788,0.80727273,0.19272727
fig7,EFNRL-like,20,8,2,15779.00000000,149221.00000000,0.10121212,0.08421212,0.81457576,0.18542424
fig7,EFNRL-like,20,8,3,17688.00000000,147312.00000000,0.11496970,0.08703030,0.79800000,0.20200000
fig7,EFNRL-like,20,8,4,16968.00000000,148032.00000000,0.10954545,0.08690909,0.80354545,0.19645455
fig7,EFNRL-like,20,8,5,17058.00000000,147942.00000000,0.10933333,0.09048485,0.80018182,0.19981818
fig7,EFNRL-like,20,8,6,17106.00000000,147894.00000000,0.10954545,0.09109091,0.79936364,0.20063636
fig7,EFNRL-like,20,8,7,17203.00000000,147797.00000000,0.11336364,0.07875758,0.80787879,0.19212121
fig7,EFNRL-like,20,8,8,17670.00000000,147330.00000000,0.11596970,0.08248485,0.80154545,0.19845455
fig7,EFNRL-like,20,8,9,17633.00000000,147367.00000000,0.11439394,0.08766667,0.79793939,0.20206061
fig7,EFNRL-like,20,8,10,17338.00000000,147662.00000000,0.10893939,0.10054545,0.79051515,0.20948485
